region,offset_start,offset_end,entropy,zero_ratio,ff_ratio,comp_sig_count,comp_lz77,comp_huffman,comp_rle,ptr_target_count,ptr_ref_sum,string_count,string_bytes,repeated_block_count,arm_bl_target_count,thumb_bl_target_count,classification,confidence
0,0x0,0x3fff,6.5563,0.1148,0.0160,359,101,173,85,684,2804,113,583,20,98,114,table_pointeurs_probable,85
1,0x4000,0x7fff,6.5483,0.0972,0.0067,307,75,146,86,461,1468,173,837,32,90,91,table_pointeurs_probable,69
2,0x8000,0xbfff,6.3630,0.1295,0.0177,307,37,198,72,371,1162,98,470,1,106,155,table_pointeurs_probable,63
3,0xc000,0xffff,6.5826,0.1081,0.0109,258,42,161,55,405,796,112,539,4,85,101,table_pointeurs_probable,56
4,0x10000,0x13fff,6.6047,0.0864,0.0089,244,20,128,96,259,455,187,977,14,96,18,table_pointeurs_probable,49
5,0x14000,0x17fff,6.4312,0.0826,0.0159,277,32,163,82,176,503,187,960,19,85,32,table_pointeurs_probable,50
6,0x18000,0x1bfff,6.4545,0.0834,0.0154,280,14,176,90,204,437,197,1102,28,83,31,table_pointeurs_probable,49
7,0x1c000,0x1ffff,6.3929,0.0807,0.0649,272,13,189,70,451,1268,206,1092,68,95,23,table_pointeurs_probable,65
8,0x20000,0x23fff,6.4380,0.0864,0.0079,290,46,134,110,391,852,254,1387,6,94,12,table_pointeurs_probable,57
9,0x24000,0x27fff,6.4161,0.0848,0.0072,329,28,204,97,147,241,212,1128,12,76,13,table_pointeurs_probable,45
10,0x28000,0x2bfff,6.3745,0.0825,0.0138,316,48,168,100,131,232,267,1397,35,94,10,zone_compressee_possible,30
11,0x2c000,0x2ffff,6.3975,0.0878,0.0206,322,44,209,69,281,511,209,1049,42,88,8,table_pointeurs_probable,50
12,0x30000,0x33fff,6.4337,0.0717,0.0046,288,35,213,40,428,819,262,1170,56,104,23,table_pointeurs_probable,56
13,0x34000,0x37fff,6.4152,0.0784,0.0075,275,37,191,47,199,250,288,1309,27,93,44,table_pointeurs_probable,45
14,0x38000,0x3bfff,6.4079,0.0928,0.0105,286,26,201,59,183,206,280,1326,69,105,18,zone_compressee_possible,30
15,0x3c000,0x3ffff,6.5009,0.0964,0.0273,250,41,129,80,351,1060,211,961,61,85,45,table_pointeurs_probable,61
16,0x40000,0x43fff,6.5845,0.0946,0.0082,292,46,196,50,450,1185,199,953,7,93,64,table_pointeurs_probable,64
17,0x44000,0x47fff,6.5979,0.0965,0.0149,235,38,137,60,134,402,167,804,3,88,101,table_pointeurs_probable,48
18,0x48000,0x4bfff,6.6233,0.0976,0.0082,269,39,148,82,113,253,155,728,11,102,49,table_pointeurs_probable,45
19,0x4c000,0x4ffff,6.6043,0.0977,0.0102,388,21,155,212,251,370,161,771,19,74,87,table_pointeurs_probable,47
20,0x50000,0x53fff,6.4358,0.0820,0.0078,342,17,124,201,415,1237,115,525,136,89,31,table_pointeurs_probable,65
21,0x54000,0x57fff,6.4202,0.1204,0.0198,311,31,220,60,222,658,67,314,12,82,174,table_pointeurs_probable,53
22,0x58000,0x5bfff,6.1707,0.1380,0.0123,483,41,393,49,141,256,76,356,34,107,254,table_pointeurs_probable,45
23,0x5c000,0x5ffff,6.4323,0.1096,0.0168,280,52,156,72,236,513,112,531,15,90,148,table_pointeurs_probable,50
