id	offset	orig_size_bytes	english	control_codes	n_chars	n_lines	references	context	french	status
ODYSSEY-TXT-000001	0x00000C0	17	                		16	1	0x0350300	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000002	0x00000C4	13	            		12	1	0x034F19C,0x034F1B8,0x034F1D4,0x034F1F0,0x034F20C	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000003	0x000C100	2	 		1	1	0x070219C	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000004	0x000EBB5	5	♂ZÄg		4	1	0x1B0C6BC	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000005	0x0018C05	3	:z		2	1	0x10B98D0	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000006	0x001C00C	4	Äé:		3	1	0x0E954D4	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000007	0x0046B41	5	♂d:o		4	1	0x0160338	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000008	0x00502F0	3	El		2	1	0x0B22B80	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000009	0x0054104	4	L:p		3	1	0x0053F7C	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000010	0x0078B9D	9	♂<FE>éw<FC:8D>ég	FC;FE	5	2	0x0078B14	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000011	0x00796CD	4	♂üé		3	1	0x007903C	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000012	0x007DDD1	9	♂wé♂<FD:D7>éö	FD	6	1	0x00568A4	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000013	0x007F999	5	♂uéW		4	1	0x016026C	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000014	0x00806F5	3	ét		2	1	0x04D02B4	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000015	0x00C9BD1	9	♂.éW<FC:3C>éG	FC	6	1	0x00C9CE0	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000016	0x00D0BF3	3	Äg		2	1	0x0B078CC	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000017	0x00FDB40	4	n:V		3	1	0x00FDA8C	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000018	0x00FDBCA	4	o:0		3	1	0x00FDACC	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000019	0x00FDBD0	4	o:F		3	1	0x00FDAD0	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000020	0x00FF204	2	 		1	1	0x069E4F4	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000021	0x00FFFBC	2	Z		1	1	0x00FFFB8	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000022	0x0100000	2	U		1	1	0x0C8B3D8,0x0CC80B0,0x0CDC530	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000023	0x01006E8	4	 :l		3	1	0x010068C	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000024	0x0100982	4	 éy		3	1	0x0100960	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000025	0x01009A4	4	 éh		3	1	0x0100968	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000026	0x0103EA0	4	 :ü		3	1	0x0103B10,0x0103B18	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000027	0x0105A14	3	HT		2	1	0x0105A04	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000028	0x0105C14	3	WT		2	1	0x0105C04	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000029	0x0116AA4	4	pé5		3	1	0x0116A5C,0x0116A60,0x0116A64,0x0116A74,0x0116A80,0x0116A84,0x0116A88,0x0116A8C,0x0116A90,0x0116A94	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000030	0x0117EBA	3	Öü		2	1	0x0117A78	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000031	0x0118070	4	<FE>é,	FE	2	2	0x0117F54	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000032	0x0121D23	3	ék		2	1	0x0B3AB04	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000033	0x0121D24	2	k		1	1	0x0AB59E4	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000034	0x0129CFC	4	 :T		3	1	0x0129CD4	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000035	0x0129D02	4	 :i		3	1	0x0129CD8	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000036	0x012C381	5	♂füS		4	1	0x012C634	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000037	0x012C5D4	4	 :b		3	1	0x012C440	UNKNOWN		SKIP_NOISE
